"file_name","driving_state","record_count"
"00000001-69B44F7F.MF4","driving","385"
"00000001-69B44F7F.MF4","idle","665"
"00000001-69B82837.MF4","driving","4970"
"00000001-69B82837.MF4","idle","1163208"
"00000002-69B8295A.MF4","driving","12632"
"00000002-69B8295A.MF4","idle","32558"
"00000003-69B82A83.MF4","driving","12621"
"00000003-69B82A83.MF4","idle","110062"
"00000004-69B82BA9.MF4","driving","14810"
"00000004-69B82BA9.MF4","idle","27881"
"00000005-69B82FFF.MF4","driving","12637"
"00000005-69B82FFF.MF4","idle","226442"
"00000006-69B83124.MF4","driving","13863"
"00000006-69B83124.MF4","idle","134327"
"00000008-69B83372.MF4","driving","6385"
"00000008-69B83372.MF4","idle","126143"
